区块,地层温度℃,地层压力mpa,注气前地层压力mpa,压力水平,渗透率md,地层原油粘度mpas,地层原油密度g/cm3,井组有效厚度m,注气井压裂,井距m,孔隙度/%,注入前含油饱和度/%,pv数
WERTZ,73.8,22.75,20.23,0.89,16,1.3,0.85,56.39,是,465.5,10.7,90,0.4
GARBER,35,8.62,1.52,0.17,57,2.1,0.793,6.4,否,102,17.0 ,25,0.6
LITTLE CREEK,120,41.4,35.2,0.86,75,0.4,0.83,9.14,是,400,23.4,44,0.35
MALJAMAR,32.2,11.6,9,0.78,13.2,0.8,0.845,14.94,否,85,10,30,1.6
NORTH COLES LEVEE,112.8,27.58,19.31,0.7,9,0.5,0.845,41.45,否,200,15,57,0.3
QUARANTINE BAY,83.9,18.6,24.4,1.31,230,0.9,0.865,4.57,否,160,26.4,38,0.63
SLAUGHTER ESTATE,40.6,17.24,15.16,0.88,8,2,0.865,22.86,是,320,12,36,0.19
WEEKS ISLAND,107.2,36.99,32.41,0.88,1200,0.3,0.86,56.69,是,40,26,22,0.26
WEST SUSSEX,40,16.7,13.8,0.83,28.5,1.4,0.83,6.7,否,98.5,19.5,28,0.24
LITTLE KNIFE,118.3,27.6,23.1,0.84,30,0.2,0.819,4.88,是,71.1,21,41.1,0.3
